Time,DroughtTimer,DiseaseApplied,Herbivores,HerbivoreEaten,HerbivoreBorn,Carnivores,CarnivoreBorn,PlantsEaten,PlantsRegrow
9,98,4,35,0,8,0,0,4,0,0,0
20,01,14,37,0,8,0,0,4,0,0,0
30,02,23,02,0,8,0,0,5,1,6,0
40,04,23,02,16,9,0,0,5,1,8,2
50,05,23,02,16,9,0,0,5,1,8,2
60,05,23,02,16,9,4,4,5,1,10,4
70,08,23,02,16,10,4,4,5,1,12,6
80,11,23,02,16,10,5,5,6,2,13,7
